Item,Price used product [EU],Price new product [EU],Value retained [EU],Category
Transpallet uomo a bordo,2200,0.0,-2200.0,annunci-vari
Caldaia a condensazione a gasolio,2250,0.0,-2250.0,annunci-vari
Caldaia a condensazione a gasolio,2250,0.0,-2250.0,annunci-vari
Caldaia a condensazione a gasolio,2250,2699.0,449.0,annunci-vari
Caldaia a condensazione a gasolio,2250,2699.0,449.0,annunci-vari
Casetta rustica 200x200,2200,3140.3333333333335,940.3333333333335,annunci-vari
Scooter elettrico per disabili,2200,4580.33,2380.33,annunci-vari
Stufa pellett D'Alessandro,2200,0.0,-2200.0,annunci-vari
Doccia solare tys flash,2200,0.0,-2200.0,annunci-vari
Trapano a colonna,2200,0.0,-2200.0,annunci-vari
Tecar,2200,0.0,-2200.0,annunci-vari
Visore notturno Night vision ATN e Dedal,2200,0.0,-2200.0,annunci-vari
Girarrosto universo 14 stecche,2200,5467.2266666666665,3267.2266666666665,annunci-vari
Scooter elettrico per disabili,2200,4580.33,2380.33,annunci-vari
Compressore a vite marchio Ceccato CSA 15,2200,0.0,-2200.0,annunci-vari
Radio frequenza KRF,2200,0.0,-2200.0,annunci-vari
Apparecchi acustici phonak,2200,0.0,-2200.0,annunci-vari
Sollevatore ricaricabile portata 1500 kg con 1 ann,2200,0.0,-2200.0,annunci-vari
Stufa a pellet,2200,0.0,-2200.0,annunci-vari
Telescopio Celestron STARBRIGHT XLT,2200,0.0,-2200.0,annunci-vari
"Gazebo 3x4,5 acciaio 4 cm stand impermeabile",410,2866.31,2456.31,casa-e-persona
"Gazebo 3x4,5 acciaio 4cm varie colorazioni NOVITÀ",410,2866.31,2456.31,casa-e-persona
"Gazebo Acciaio misura 3x4,5 telaio 4*4 cm NOVITA'",410,2866.31,2456.31,casa-e-persona
Asciugatrice candy 10 kg nuovo garantito,420,0.0,-420.0,casa-e-persona
Smanicato vera pellicia volpe rossa,420,0.0,-420.0,casa-e-persona
Dyson airwrap,420,0.0,-420.0,casa-e-persona
N.1 Piumino donna nero taglia 54 marca Canadiens,410,803.2916666666666,393.29166666666663,casa-e-persona
Serie igienici LFT SPAZIO Simas,425,0.0,-425.0,casa-e-persona
Scarpe uomo,430,503.0,73.0,casa-e-persona
Yeezy Boost 350 V2 Onyx - Eu47 1/3,425,439.95,14.949999999999989,casa-e-persona
Colonne da Bagno Giulia EBAN,427,0.0,-427.0,casa-e-persona
ROBOT ASPIRAPOLVERE FOLLETTO Vr300 BLACK FRIDAY,429,0.0,-429.0,casa-e-persona
3X6 Gazebo 6x3 fiera impermeabile mercato acciaio,430,2866.31,2436.31,casa-e-persona
Gazebo 3x6 acciaio 4cm impermeabile apri chiudi,430,2866.31,2436.31,casa-e-persona
Glycine Combat Sub automatico GL0083,430,750.0,320.0,casa-e-persona
Hamilton Khaki Field Auto 40mm,430,825.6666666666666,395.66666666666663,casa-e-persona
Cameretta: armadio a 4.ante e divanetto/letto più,420,1572.3364705882354,1152.3364705882354,casa-e-persona
Murano,425,0.0,-425.0,casa-e-persona
Serie igienici FLOW Simas,419,0.0,-419.0,casa-e-persona
Borsa,425,850.0,425.0,casa-e-persona
Samsung Galaxy S20,330,0.0,-330.0,elettronica
Apple Watch Serie 7 Gps + Cell,330,0.0,-330.0,elettronica
Iphone xs 256gb usato garantito nero,329,1561.5,1232.5,elettronica
Motorola edge plus 5g 12/256,329,0.0,-329.0,elettronica
"PC GAMING RGB FORTNITE usato, perfetto",329,1209.0,880.0,elettronica
Oppo RENO 8 Lite 5G,329,369.0,40.0,elettronica
Samsung A53 5G Nuovo,329,939.0,610.0,elettronica
Ipad,330,679.0,349.0,elettronica
Apple Watch 6 Cellular - Aluminium 44mm,330,0.0,-330.0,elettronica
IPhone XR 256 gb corallo,330,723.4,393.4,elettronica
IPhone SE 2020 usato 128gb nero garantito,329,443.0,114.0,elettronica
Samsung Galaxy Note 10 con garanzia,330,0.0,-330.0,elettronica
"Drone DJI Mini SE ""Fly more combo"" con ancor",330,0.0,-330.0,elettronica
IPhone 11 64gb,330,0.0,-330.0,elettronica
Xiaomi 11T Pro,330,0.0,-330.0,elettronica
Doogee V20 5g,330,657.48,327.48,elettronica
Tastiera meccanica con switch da gaming,330,0.0,-330.0,elettronica
IPhone XR 256 giga,330,712.2,382.20000000000005,elettronica
Pioneer a 706,330,0.0,-330.0,elettronica
Macbook 12 Retina Early 2015 1.2 Ghz 512 GB SSD,330,1579.0,1249.0,elettronica
Yamaha MT-125 - 2022,5499,0.0,-5499.0,motori
Yamaha T Max 500 - 2011 NERO,5499,0.0,-5499.0,motori
Fiat Panda 0.9 TwinAir Turbo Natural Power Pop,5490,0.0,-5490.0,motori
Alfa Romeo 159 1.9 JTDm 16V Progression Q-Tronic,5490,0.0,-5490.0,motori
FORD- FOCUS- 1.6 TDCI- OK NEOPATENTATI-162.000 KM,5490,0.0,-5490.0,motori
FIAT punto 1.3 multijet 75 cv,5490,0.0,-5490.0,motori
Fiat Panda 0.9 TwinAir Turbo Natural Power Pop,5490,0.0,-5490.0,motori
CHRYSLER Gr.Voyager (08-10) - 2009,5300,0.0,-5300.0,motori
Volvo v50 2011 ds 1.6 km 192 mila,5300,0.0,-5300.0,motori
Honda Rebel 500 - 2020,5300,0.0,-5300.0,motori
Bmw 530d Msport,5300,0.0,-5300.0,motori
Fiat 500 1.3 Multijet 75Cv *SPORT* 2008,5300,0.0,-5300.0,motori
Fiat ducato maxi,5300,0.0,-5300.0,motori
Peugeot 208,5400,0.0,-5400.0,motori
OPEL Astra 3ª serie - 2008 1.6 GPL 206.000KM,5400,0.0,-5400.0,motori
Fiat Ducato,5500,0.0,-5500.0,motori
Citroen c3 1.4 e_hdi 68 cv ok neopatentati,5299,0.0,-5299.0,motori
SMART fortwo 2ª serie - 2008,5500,0.0,-5500.0,motori
Fiat punto 1.4 natural power street 70 cv ok neo p,5399,0.0,-5399.0,motori
MINI Cooper,5500,0.0,-5500.0,motori
Lapierre Edge 3.9 NUOVA,590,0.0,-590.0,sport-hobby
Motore BOSCH 4 gen CX Performance NUOVO,575,0.0,-575.0,sport-hobby
Mtb Scott 29 pollici taglia L fino 1.80mt,580,0.0,-580.0,sport-hobby
Ruote Carbon+ 29 mozzi DT,580,1649.0,1069.0,sport-hobby
Sterling - ultimo ribasso - pari al nuovo,580,0.0,-580.0,sport-hobby
E.T. Extra-terrestre 1982,580,0.0,-580.0,sport-hobby
Bicicletta da corsa Bottecchia,580,950.0,370.0,sport-hobby
Bowen designs statue marvel perfette condizioni,580,0.0,-580.0,sport-hobby
Lego set 75021,590,0.0,-590.0,sport-hobby
Bici - MTB Front,580,0.0,-580.0,sport-hobby
Astuccio montblanc e penna montblanc,580,694.8571428571429,114.85714285714289,sport-hobby
Pokemon Rayquaza VMAx Alternative ITA GRAAD 9.5,570,0.0,-570.0,sport-hobby
Lego set 75059,590,0.0,-590.0,sport-hobby
Rockrider st540s taglia M,590,0.0,-590.0,sport-hobby
GT Grade alloy taglia 51,590,0.0,-590.0,sport-hobby
Specialized Epic Alu (size M),590,0.0,-590.0,sport-hobby
Nitro snowboard Suprateam 162 + attacco Phatom,590,0.0,-590.0,sport-hobby
Rullo Elite Suito T NUOVO,590,1069.33,479.3299999999999,sport-hobby
Maltesi toy,580,0.0,-580.0,sport-hobby
Selletta Advance Easiness 3 tg S (155-172 cm),580,0.0,-580.0,sport-hobby
